,audio_filename,filename,id,modality,vocal_channel,emotion,emotion_string,emotional,emotional_string,statement,repetition,speaker,gender,start,end,channels,Anger,Happiness,Sadness,Neutral state
50,/data/RAVDESS/Audio_Speech_Actors_01-24/Actor_20/03-01-05-01-01-01-20.wav,03-01-05-01-01-01-20,RAVDESS_50,03,01,05,angry,01,normal,01,01,20,F,0,3.2365986394557824,,1,0,0,0
52,/data/RAVDESS/Audio_Speech_Actors_01-24/Actor_20/03-01-05-02-02-02-20.wav,03-01-05-02-02-02-20,RAVDESS_52,03,01,05,angry,02,strong,02,02,20,F,0,3.53687074829932,,1,0,0,0
53,/data/RAVDESS/Audio_Speech_Actors_01-24/Actor_20/03-01-03-01-02-02-20.wav,03-01-03-01-02-02-20,RAVDESS_53,03,01,03,happy,01,normal,02,02,20,F,0,3.4034013605442177,,0,1,0,0
54,/data/RAVDESS/Audio_Speech_Actors_01-24/Actor_20/03-01-01-01-02-02-20.wav,03-01-01-01-02-02-20,RAVDESS_54,03,01,01,neutral,01,normal,02,02,20,F,0,3.5369160997732427,,0,0,0,1
56,/data/RAVDESS/Audio_Speech_Actors_01-24/Actor_20/03-01-05-01-02-01-20.wav,03-01-05-01-02-01-20,RAVDESS_56,03,01,05,angry,01,normal,02,01,20,F,0,3.670340136054422,,1,0,0,0
58,/data/RAVDESS/Audio_Speech_Actors_01-24/Actor_20/03-01-04-02-02-02-20.wav,03-01-04-02-02-02-20,RAVDESS_58,03,01,04,sad,02,strong,02,02,20,F,0,3.970657596371882,,0,0,1,0
61,/data/RAVDESS/Audio_Speech_Actors_01-24/Actor_23/03-01-03-02-02-02-23.wav,03-01-03-02-02-02-23,RAVDESS_61,03,01,03,happy,02,strong,02,02,23,M,0,3.2365986394557824,,0,1,0,0
62,/data/RAVDESS/Audio_Speech_Actors_01-24/Actor_23/03-01-05-02-01-02-23.wav,03-01-05-02-01-02-23,RAVDESS_62,03,01,05,angry,02,strong,01,02,23,M,0,3.336689342403628,,1,0,0,0
63,/data/RAVDESS/Audio_Speech_Actors_01-24/Actor_23/03-01-04-02-02-02-23.wav,03-01-04-02-02-02-23,RAVDESS_63,03,01,04,sad,02,strong,02,02,23,M,0,4.738095238095238,,0,0,1,0
74,/data/RAVDESS/Audio_Speech_Actors_01-24/Actor_23/03-01-03-01-01-01-23.wav,03-01-03-01-01-01-23,RAVDESS_74,03,01,03,happy,01,normal,01,01,23,M,0,3.336689342403628,,0,1,0,0
76,/data/RAVDESS/Audio_Speech_Actors_01-24/Actor_23/03-01-04-01-01-01-23.wav,03-01-04-01-01-01-23,RAVDESS_76,03,01,04,sad,01,normal,01,01,23,M,0,3.603628117913832,,0,0,1,0
77,/data/RAVDESS/Audio_Speech_Actors_01-24/Actor_23/03-01-03-02-01-02-23.wav,03-01-03-02-01-02-23,RAVDESS_77,03,01,03,happy,02,strong,01,02,23,M,0,3.2032199546485263,,0,1,0,0
80,/data/RAVDESS/Audio_Speech_Actors_01-24/Actor_23/03-01-04-01-02-01-23.wav,03-01-04-01-02-01-23,RAVDESS_80,03,01,04,sad,01,normal,02,01,23,M,0,3.570249433106576,,0,0,1,0
82,/data/RAVDESS/Audio_Speech_Actors_01-24/Actor_23/03-01-05-01-02-01-23.wav,03-01-05-01-02-01-23,RAVDESS_82,03,01,05,angry,01,normal,02,01,23,M,0,3.2699773242630386,,1,0,0,0
83,/data/RAVDESS/Audio_Speech_Actors_01-24/Actor_23/03-01-04-01-02-02-23.wav,03-01-04-01-02-02-23,RAVDESS_83,03,01,04,sad,01,normal,02,02,23,M,0,3.670340136054422,,0,0,1,0
86,/data/RAVDESS/Audio_Speech_Actors_01-24/Actor_23/03-01-04-02-01-02-23.wav,03-01-04-02-01-02-23,RAVDESS_86,03,01,04,sad,02,strong,01,02,23,M,0,4.3710657596371885,,0,0,1,0
87,/data/RAVDESS/Audio_Speech_Actors_01-24/Actor_23/03-01-01-01-01-02-23.wav,03-01-01-01-01-02-23,RAVDESS_87,03,01,01,neutral,01,normal,01,02,23,M,0,3.737097505668934,,0,0,0,1
88,/data/RAVDESS/Audio_Speech_Actors_01-24/Actor_23/03-01-03-02-02-01-23.wav,03-01-03-02-02-01-23,RAVDESS_88,03,01,03,happy,02,strong,02,01,23,M,0,3.2365986394557824,,0,1,0,0
92,/data/RAVDESS/Audio_Speech_Actors_01-24/Actor_23/03-01-05-02-02-02-23.wav,03-01-05-02-02-02-23,RAVDESS_92,03,01,05,angry,02,strong,02,02,23,M,0,3.3033106575963718,,1,0,0,0
93,/data/RAVDESS/Audio_Speech_Actors_01-24/Actor_23/03-01-04-01-01-02-23.wav,03-01-04-01-01-02-23,RAVDESS_93,03,01,04,sad,01,normal,01,02,23,M,0,3.8705668934240363,,0,0,1,0
95,/data/RAVDESS/Audio_Speech_Actors_01-24/Actor_23/03-01-05-02-01-01-23.wav,03-01-05-02-01-01-23,RAVDESS_95,03,01,05,angry,02,strong,01,01,23,M,0,3.4034013605442177,,1,0,0,0
97,/data/RAVDESS/Audio_Speech_Actors_01-24/Actor_23/03-01-03-01-02-01-23.wav,03-01-03-01-02-01-23,RAVDESS_97,03,01,03,happy,01,normal,02,01,23,M,0,3.2365986394557824,,0,1,0,0
100,/data/RAVDESS/Audio_Speech_Actors_01-24/Actor_23/03-01-03-01-01-02-23.wav,03-01-03-01-01-02-23,RAVDESS_100,03,01,03,happy,01,normal,01,02,23,M,0,3.2699773242630386,,0,1,0,0
104,/data/RAVDESS/Audio_Speech_Actors_01-24/Actor_23/03-01-01-01-02-02-23.wav,03-01-01-01-02-02-23,RAVDESS_104,03,01,01,neutral,01,normal,02,02,23,M,0,3.83718820861678,,0,0,0,1
105,/data/RAVDESS/Audio_Speech_Actors_01-24/Actor_23/03-01-05-01-01-02-23.wav,03-01-05-01-01-02-23,RAVDESS_105,03,01,05,angry,01,normal,01,02,23,M,0,3.3033560090702947,,1,0,0,0
106,/data/RAVDESS/Audio_Speech_Actors_01-24/Actor_23/03-01-05-02-02-01-23.wav,03-01-05-02-02-01-23,RAVDESS_106,03,01,05,angry,02,strong,02,01,23,M,0,3.2365986394557824,,1,0,0,0
109,/data/RAVDESS/Audio_Speech_Actors_01-24/Actor_23/03-01-05-01-02-02-23.wav,03-01-05-01-02-02-23,RAVDESS_109,03,01,05,angry,01,normal,02,02,23,M,0,3.336689342403628,,1,0,0,0
110,/data/RAVDESS/Audio_Speech_Actors_01-24/Actor_23/03-01-01-01-01-01-23.wav,03-01-01-01-01-01-23,RAVDESS_110,03,01,01,neutral,01,normal,01,01,23,M,0,3.803809523809524,,0,0,0,1
113,/data/RAVDESS/Audio_Speech_Actors_01-24/Actor_23/03-01-03-01-02-02-23.wav,03-01-03-01-02-02-23,RAVDESS_113,03,01,03,happy,01,normal,02,02,23,M,0,3.2699773242630386,,0,1,0,0
114,/data/RAVDESS/Audio_Speech_Actors_01-24/Actor_23/03-01-05-01-01-01-23.wav,03-01-05-01-01-01-23,RAVDESS_114,03,01,05,angry,01,normal,01,01,23,M,0,3.3033560090702947,,1,0,0,0
116,/data/RAVDESS/Audio_Speech_Actors_01-24/Actor_23/03-01-03-02-01-01-23.wav,03-01-03-02-01-01-23,RAVDESS_116,03,01,03,happy,02,strong,01,01,23,M,0,3.2365986394557824,,0,1,0,0
117,/data/RAVDESS/Audio_Speech_Actors_01-24/Actor_23/03-01-01-01-02-01-23.wav,03-01-01-01-02-01-23,RAVDESS_117,03,01,01,neutral,01,normal,02,01,23,M,0,3.670340136054422,,0,0,0,1
118,/data/RAVDESS/Audio_Speech_Actors_01-24/Actor_23/03-01-04-02-01-01-23.wav,03-01-04-02-01-01-23,RAVDESS_118,03,01,04,sad,02,strong,01,01,23,M,0,4.270975056689342,,0,0,1,0
119,/data/RAVDESS/Audio_Speech_Actors_01-24/Actor_23/03-01-04-02-02-01-23.wav,03-01-04-02-02-01-23,RAVDESS_119,03,01,04,sad,02,strong,02,01,23,M,0,3.937278911564626,,0,0,1,0
120,/data/RAVDESS/Audio_Speech_Actors_01-24/Actor_18/03-01-03-01-01-02-18.wav,03-01-03-01-01-02-18,RAVDESS_120,03,01,03,happy,01,normal,01,02,18,F,0,3.3700226757369616,,0,1,0,0
122,/data/RAVDESS/Audio_Speech_Actors_01-24/Actor_18/03-01-04-02-01-01-18.wav,03-01-04-02-01-01-18,RAVDESS_122,03,01,04,sad,02,strong,01,01,18,F,0,3.803809523809524,,0,0,1,0
126,/data/RAVDESS/Audio_Speech_Actors_01-24/Actor_18/03-01-03-01-02-02-18.wav,03-01-03-01-02-02-18,RAVDESS_126,03,01,03,happy,01,normal,02,02,18,F,0,3.5035374149659866,,0,1,0,0
127,/data/RAVDESS/Audio_Speech_Actors_01-24/Actor_18/03-01-04-01-02-02-18.wav,03-01-04-01-02-02-18,RAVDESS_127,03,01,04,sad,01,normal,02,02,18,F,0,3.6369614512471657,,0,0,1,0
130,/data/RAVDESS/Audio_Speech_Actors_01-24/Actor_18/03-01-05-02-01-02-18.wav,03-01-05-02-01-02-18,RAVDESS_130,03,01,05,angry,02,strong,01,02,18,F,0,3.7704761904761903,,1,0,0,0
132,/data/RAVDESS/Audio_Speech_Actors_01-24/Actor_18/03-01-01-01-02-01-18.wav,03-01-01-01-02-01-18,RAVDESS_132,03,01,01,neutral,01,normal,02,01,18,F,0,3.47015873015873,,0,0,0,1
133,/data/RAVDESS/Audio_Speech_Actors_01-24/Actor_18/03-01-05-01-02-01-18.wav,03-01-05-01-02-01-18,RAVDESS_133,03,01,05,angry,01,normal,02,01,18,F,0,3.570249433106576,,1,0,0,0
136,/data/RAVDESS/Audio_Speech_Actors_01-24/Actor_18/03-01-04-01-02-01-18.wav,03-01-04-01-02-01-18,RAVDESS_136,03,01,04,sad,01,normal,02,01,18,F,0,3.5369160997732427,,0,0,1,0
138,/data/RAVDESS/Audio_Speech_Actors_01-24/Actor_18/03-01-05-02-02-01-18.wav,03-01-05-02-02-01-18,RAVDESS_138,03,01,05,angry,02,strong,02,01,18,F,0,3.83718820861678,,1,0,0,0
142,/data/RAVDESS/Audio_Speech_Actors_01-24/Actor_18/03-01-01-01-01-01-18.wav,03-01-01-01-01-01-18,RAVDESS_142,03,01,01,neutral,01,normal,01,01,18,F,0,3.47015873015873,,0,0,0,1
145,/data/RAVDESS/Audio_Speech_Actors_01-24/Actor_18/03-01-05-02-01-01-18.wav,03-01-05-02-01-01-18,RAVDESS_145,03,01,05,angry,02,strong,01,01,18,F,0,3.703718820861678,,1,0,0,0
146,/data/RAVDESS/Audio_Speech_Actors_01-24/Actor_18/03-01-03-02-02-01-18.wav,03-01-03-02-02-01-18,RAVDESS_146,03,01,03,happy,02,strong,02,01,18,F,0,3.7704761904761903,,0,1,0,0
149,/data/RAVDESS/Audio_Speech_Actors_01-24/Actor_18/03-01-03-02-01-02-18.wav,03-01-03-02-01-02-18,RAVDESS_149,03,01,03,happy,02,strong,01,02,18,F,0,3.937278911564626,,0,1,0,0
152,/data/RAVDESS/Audio_Speech_Actors_01-24/Actor_18/03-01-05-01-02-02-18.wav,03-01-05-01-02-02-18,RAVDESS_152,03,01,05,angry,01,normal,02,02,18,F,0,3.6370068027210882,,1,0,0,0
153,/data/RAVDESS/Audio_Speech_Actors_01-24/Actor_18/03-01-04-01-01-01-18.wav,03-01-04-01-01-01-18,RAVDESS_153,03,01,04,sad,01,normal,01,01,18,F,0,3.570249433106576,,0,0,1,0
156,/data/RAVDESS/Audio_Speech_Actors_01-24/Actor_18/03-01-03-02-02-02-18.wav,03-01-03-02-02-02-18,RAVDESS_156,03,01,03,happy,02,strong,02,02,18,F,0,3.83718820861678,,0,1,0,0
159,/data/RAVDESS/Audio_Speech_Actors_01-24/Actor_18/03-01-01-01-02-02-18.wav,03-01-01-01-02-02-18,RAVDESS_159,03,01,01,neutral,01,normal,02,02,18,F,0,3.47015873015873,,0,0,0,1
161,/data/RAVDESS/Audio_Speech_Actors_01-24/Actor_18/03-01-03-01-01-01-18.wav,03-01-03-01-01-01-18,RAVDESS_161,03,01,03,happy,01,normal,01,01,18,F,0,3.4034013605442177,,0,1,0,0
165,/data/RAVDESS/Audio_Speech_Actors_01-24/Actor_18/03-01-04-02-01-02-18.wav,03-01-04-02-01-02-18,RAVDESS_165,03,01,04,sad,02,strong,01,02,18,F,0,3.83718820861678,,0,0,1,0
166,/data/RAVDESS/Audio_Speech_Actors_01-24/Actor_18/03-01-04-01-01-02-18.wav,03-01-04-01-01-02-18,RAVDESS_166,03,01,04,sad,01,normal,01,02,18,F,0,3.6369614512471657,,0,0,1,0
167,/data/RAVDESS/Audio_Speech_Actors_01-24/Actor_18/03-01-05-01-01-02-18.wav,03-01-05-01-01-02-18,RAVDESS_167,03,01,05,angry,01,normal,01,02,18,F,0,4.170839002267574,,1,0,0,0
170,/data/RAVDESS/Audio_Speech_Actors_01-24/Actor_18/03-01-01-01-01-02-18.wav,03-01-01-01-01-02-18,RAVDESS_170,03,01,01,neutral,01,normal,01,02,18,F,0,3.5369160997732427,,0,0,0,1
171,/data/RAVDESS/Audio_Speech_Actors_01-24/Actor_18/03-01-05-02-02-02-18.wav,03-01-05-02-02-02-18,RAVDESS_171,03,01,05,angry,02,strong,02,02,18,F,0,4.237596371882086,,1,0,0,0
172,/data/RAVDESS/Audio_Speech_Actors_01-24/Actor_18/03-01-05-01-01-01-18.wav,03-01-05-01-01-01-18,RAVDESS_172,03,01,05,angry,01,normal,01,01,18,F,0,3.9039002267573695,,1,0,0,0
173,/data/RAVDESS/Audio_Speech_Actors_01-24/Actor_18/03-01-03-02-01-01-18.wav,03-01-03-02-01-01-18,RAVDESS_173,03,01,03,happy,02,strong,01,01,18,F,0,3.7704761904761903,,0,1,0,0
174,/data/RAVDESS/Audio_Speech_Actors_01-24/Actor_18/03-01-04-02-02-01-18.wav,03-01-04-02-02-01-18,RAVDESS_174,03,01,04,sad,02,strong,02,01,18,F,0,4.13750566893424,,0,0,1,0
175,/data/RAVDESS/Audio_Speech_Actors_01-24/Actor_18/03-01-03-01-02-01-18.wav,03-01-03-01-02-01-18,RAVDESS_175,03,01,03,happy,01,normal,02,01,18,F,0,3.436780045351474,,0,1,0,0
176,/data/RAVDESS/Audio_Speech_Actors_01-24/Actor_18/03-01-04-02-02-02-18.wav,03-01-04-02-02-02-18,RAVDESS_176,03,01,04,sad,02,strong,02,02,18,F,0,3.83718820861678,,0,0,1,0
180,/data/RAVDESS/Audio_Speech_Actors_01-24/Actor_06/03-01-03-01-01-01-06.wav,03-01-03-01-01-01-06,RAVDESS_180,03,01,03,happy,01,normal,01,01,06,F,0,3.53687074829932,,0,1,0,0
193,/data/RAVDESS/Audio_Speech_Actors_01-24/Actor_06/03-01-03-01-02-02-06.wav,03-01-03-01-02-02-06,RAVDESS_193,03,01,03,happy,01,normal,02,02,06,F,0,3.436780045351474,,0,1,0,0
196,/data/RAVDESS/Audio_Speech_Actors_01-24/Actor_06/03-01-03-02-02-01-06.wav,03-01-03-02-02-01-06,RAVDESS_196,03,01,03,happy,02,strong,02,01,06,F,0,3.570249433106576,,0,1,0,0
197,/data/RAVDESS/Audio_Speech_Actors_01-24/Actor_06/03-01-05-01-01-02-06.wav,03-01-05-01-01-02-06,RAVDESS_197,03,01,05,angry,01,normal,01,02,06,F,0,3.970657596371882,,1,0,0,0
198,/data/RAVDESS/Audio_Speech_Actors_01-24/Actor_06/03-01-05-01-02-01-06.wav,03-01-05-01-02-01-06,RAVDESS_198,03,01,05,angry,01,normal,02,01,06,F,0,4.20421768707483,,1,0,0,0
199,/data/RAVDESS/Audio_Speech_Actors_01-24/Actor_06/03-01-04-01-02-02-06.wav,03-01-04-01-02-02-06,RAVDESS_199,03,01,04,sad,01,normal,02,02,06,F,0,3.436780045351474,,0,0,1,0
201,/data/RAVDESS/Audio_Speech_Actors_01-24/Actor_06/03-01-04-02-02-01-06.wav,03-01-04-02-02-01-06,RAVDESS_201,03,01,04,sad,02,strong,02,01,06,F,0,4.6046258503401365,,0,0,1,0
202,/data/RAVDESS/Audio_Speech_Actors_01-24/Actor_06/03-01-04-02-01-02-06.wav,03-01-04-02-01-02-06,RAVDESS_202,03,01,04,sad,02,strong,01,02,06,F,0,4.104126984126984,,0,0,1,0
205,/data/RAVDESS/Audio_Speech_Actors_01-24/Actor_06/03-01-01-01-02-02-06.wav,03-01-01-01-02-02-06,RAVDESS_205,03,01,01,neutral,01,normal,02,02,06,F,0,3.436780045351474,,0,0,0,1
206,/data/RAVDESS/Audio_Speech_Actors_01-24/Actor_06/03-01-05-02-01-02-06.wav,03-01-05-02-01-02-06,RAVDESS_206,03,01,05,angry,02,strong,01,02,06,F,0,4.20421768707483,,1,0,0,0
207,/data/RAVDESS/Audio_Speech_Actors_01-24/Actor_06/03-01-01-01-01-02-06.wav,03-01-01-01-01-02-06,RAVDESS_207,03,01,01,neutral,01,normal,01,02,06,F,0,3.603628117913832,,0,0,0,1
208,/data/RAVDESS/Audio_Speech_Actors_01-24/Actor_06/03-01-03-01-01-02-06.wav,03-01-03-01-01-02-06,RAVDESS_208,03,01,03,happy,01,normal,01,02,06,F,0,3.603628117913832,,0,1,0,0
209,/data/RAVDESS/Audio_Speech_Actors_01-24/Actor_06/03-01-05-02-02-02-06.wav,03-01-05-02-02-02-06,RAVDESS_209,03,01,05,angry,02,strong,02,02,06,F,0,4.471156462585034,,1,0,0,0
210,/data/RAVDESS/Audio_Speech_Actors_01-24/Actor_06/03-01-05-01-02-02-06.wav,03-01-05-01-02-02-06,RAVDESS_210,03,01,05,angry,01,normal,02,02,06,F,0,3.9039002267573695,,1,0,0,0
216,/data/RAVDESS/Audio_Speech_Actors_01-24/Actor_06/03-01-05-02-01-01-06.wav,03-01-05-02-01-01-06,RAVDESS_216,03,01,05,angry,02,strong,01,01,06,F,0,4.104126984126984,,1,0,0,0
217,/data/RAVDESS/Audio_Speech_Actors_01-24/Actor_06/03-01-04-02-01-01-06.wav,03-01-04-02-01-01-06,RAVDESS_217,03,01,04,sad,02,strong,01,01,06,F,0,4.20421768707483,,0,0,1,0
219,/data/RAVDESS/Audio_Speech_Actors_01-24/Actor_06/03-01-01-01-02-01-06.wav,03-01-01-01-02-01-06,RAVDESS_219,03,01,01,neutral,01,normal,02,01,06,F,0,3.4034013605442177,,0,0,0,1
220,/data/RAVDESS/Audio_Speech_Actors_01-24/Actor_06/03-01-05-02-02-01-06.wav,03-01-05-02-02-01-06,RAVDESS_220,03,01,05,angry,02,strong,02,01,06,F,0,4.437777777777778,,1,0,0,0
221,/data/RAVDESS/Audio_Speech_Actors_01-24/Actor_06/03-01-04-02-02-02-06.wav,03-01-04-02-02-02-06,RAVDESS_221,03,01,04,sad,02,strong,02,02,06,F,0,4.037369614512472,,0,0,1,0
222,/data/RAVDESS/Audio_Speech_Actors_01-24/Actor_06/03-01-03-02-01-02-06.wav,03-01-03-02-01-02-06,RAVDESS_222,03,01,03,happy,02,strong,01,02,06,F,0,3.47015873015873,,0,1,0,0
225,/data/RAVDESS/Audio_Speech_Actors_01-24/Actor_06/03-01-01-01-01-01-06.wav,03-01-01-01-01-01-06,RAVDESS_225,03,01,01,neutral,01,normal,01,01,06,F,0,3.336689342403628,,0,0,0,1
230,/data/RAVDESS/Audio_Speech_Actors_01-24/Actor_06/03-01-05-01-01-01-06.wav,03-01-05-01-01-01-06,RAVDESS_230,03,01,05,angry,01,normal,01,01,06,F,0,3.7704761904761903,,1,0,0,0
231,/data/RAVDESS/Audio_Speech_Actors_01-24/Actor_06/03-01-03-02-02-02-06.wav,03-01-03-02-02-02-06,RAVDESS_231,03,01,03,happy,02,strong,02,02,06,F,0,3.603628117913832,,0,1,0,0
234,/data/RAVDESS/Audio_Speech_Actors_01-24/Actor_06/03-01-04-01-02-01-06.wav,03-01-04-01-02-01-06,RAVDESS_234,03,01,04,sad,01,normal,02,01,06,F,0,3.47015873015873,,0,0,1,0
235,/data/RAVDESS/Audio_Speech_Actors_01-24/Actor_06/03-01-03-01-02-01-06.wav,03-01-03-01-02-01-06,RAVDESS_235,03,01,03,happy,01,normal,02,01,06,F,0,3.47015873015873,,0,1,0,0
236,/data/RAVDESS/Audio_Speech_Actors_01-24/Actor_06/03-01-04-01-01-02-06.wav,03-01-04-01-01-02-06,RAVDESS_236,03,01,04,sad,01,normal,01,02,06,F,0,3.603628117913832,,0,0,1,0
237,/data/RAVDESS/Audio_Speech_Actors_01-24/Actor_06/03-01-03-02-01-01-06.wav,03-01-03-02-01-01-06,RAVDESS_237,03,01,03,happy,02,strong,01,01,06,F,0,3.5035374149659866,,0,1,0,0
238,/data/RAVDESS/Audio_Speech_Actors_01-24/Actor_06/03-01-04-01-01-01-06.wav,03-01-04-01-01-01-06,RAVDESS_238,03,01,04,sad,01,normal,01,01,06,F,0,3.570249433106576,,0,0,1,0
242,/data/RAVDESS/Audio_Speech_Actors_01-24/Actor_15/03-01-04-02-01-02-15.wav,03-01-04-02-01-02-15,RAVDESS_242,03,01,04,sad,02,strong,01,02,15,M,0,3.4034013605442177,,0,0,1,0
247,/data/RAVDESS/Audio_Speech_Actors_01-24/Actor_15/03-01-05-02-01-02-15.wav,03-01-05-02-01-02-15,RAVDESS_247,03,01,05,angry,02,strong,01,02,15,M,0,3.737097505668934,,1,0,0,0
248,/data/RAVDESS/Audio_Speech_Actors_01-24/Actor_15/03-01-01-01-02-02-15.wav,03-01-01-01-02-02-15,RAVDESS_248,03,01,01,neutral,01,normal,02,02,15,M,0,3.4034013605442177,,0,0,0,1
253,/data/RAVDESS/Audio_Speech_Actors_01-24/Actor_15/03-01-01-01-02-01-15.wav,03-01-01-01-02-01-15,RAVDESS_253,03,01,01,neutral,01,normal,02,01,15,M,0,3.436780045351474,,0,0,0,1
254,/data/RAVDESS/Audio_Speech_Actors_01-24/Actor_15/03-01-04-01-02-02-15.wav,03-01-04-01-02-02-15,RAVDESS_254,03,01,04,sad,01,normal,02,02,15,M,0,3.3700226757369616,,0,0,1,0
255,/data/RAVDESS/Audio_Speech_Actors_01-24/Actor_15/03-01-04-02-02-02-15.wav,03-01-04-02-02-02-15,RAVDESS_255,03,01,04,sad,02,strong,02,02,15,M,0,3.436780045351474,,0,0,1,0
257,/data/RAVDESS/Audio_Speech_Actors_01-24/Actor_15/03-01-05-01-02-02-15.wav,03-01-05-01-02-02-15,RAVDESS_257,03,01,05,angry,01,normal,02,02,15,M,0,3.5369160997732427,,1,0,0,0
